STATION,NAME,DATE,AVG,TMAX,TMIN
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/29/71,,75,51
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/30/71,,70,47
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",7/31/71,,85,49
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",8/1/71,,90,63
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",8/2/71,,79,57
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",8/3/71,,75,62
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",8/4/71,,71,62
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",8/5/71,,75,57
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",8/6/71,,79,59
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",8/7/71,,78,66
USW00014933,"DES MOINES INTERNATIONAL AIRPORT, IA US",8/8/71,,85,69
